masterid,year,northings,eastings,month1,year1,month2,year2,Deaths,Healthyfrogs,redspots.haemorrhaging,ulcers,limbbreakdown,Toads in pond,Newts in pond,Fish in pond,Other dead animals,No of other dead,Blobs of spawn,Sq feet of spawn,Urban(1)/Rural(0),Pond 1 length (m),Pond 1 width (m),Pond 1 depth (m),Pond 2 length (m),Pond 2 width (m),Pond 2 depth (m),Fishcare,slugpellets,Herbicide,Notes.1,Notes.2,Notes.3,Follow up report_Comments
86,1992,51.747,-0.263,5,1992,11,1992,9,5,F,F,F,Yes,No,No,NA,NA,1,NA,1,2.4,1.2,1.2,NA,NA,NA,No,No,Yes,, ,,Dead frogs showed no signs of injury.
87,1992,50.859,-0.945,6,1992,7,1992,10,30,F,F,F,Yes,Yes,Yes,NA,NA,NA,3,0,6,2.7,0.7,NA,NA,NA,No,Yes,Yes, 30 dead frogs in 1991. Near farmland., ,,Fewer frogs this year.
88,1992,51.353,0.518,5,1992,8,1992,5,30,F,F,F,Yes,Yes,No,NA,NA,NA,3,1,2.1,1.5,0.45,NA,NA,NA,No,Yes,No,," Red legs last year, snails gone this year",,
89,1992,51.63,-0.378,5,1992,9,1992,16,30,F,F,T,No,No,No,NA,NA,8,NA,1,2.1,0.9,0.9,NA,NA,NA,No,No,No,Neighbours also have problems. Had lots of spawn and froglets., ,,
90,1992,51.577,-0.156,3,1992,NA,1992,12,15,F,F,F,Yes,Yes,No,NA,NA,8,NA,1,3.6,2.7,0.6,NA,NA,NA,No,No,No,"Complete spawn failure since 1989. Newts have increased, dragonflies have decreased.", ,,
91,1992,51.374,-0.089,NA,1990,NA,1990,NA,5,F,F,F,Yes,Yes,Yes,NA,NA,NA,NA,1,1.5,1.2,0.7,NA,NA,NA,No,No,No,"No spawn this year - brough spawn in from lake which all died, died at the lake also. Cleaned pond in october 91.", ,,Only very few froglets developed - <10.
92,1992,51.615,-0.703,2,1992,8,1992,7,50,F,F,F,No,Yes,No,NA,NA,NA,2,0,1.8,1.2,1,1.8,1.2,1,No,No,No,2 frogs killed by cats, ,,
93,1992,51.273,-0.315,1,1992,NA,1992,20,30,F,F,F,Yes,Yes,No,NA,NA,NA,3,0,3,3,1,NA,NA,NA,No,No,No,Weather - polluted air?, ,,
94,1992,51.277,1.091,6,1992,8,1992,2,15,F,F,T,No,Yes,Yes,NA,NA,NA,2.5,1,3.8,1.8,1.2,NA,NA,NA,No,No,No,, ,,"Pond has been full of mating frogs, all seems healthy"
95,1992,51.512,-0.05,2,1992,NA,1992,4,5,F,F,F,Yes,No,No,NA,NA,NA,9,1,1.2,0.9,0.3,NA,NA,NA,No,No,No,On allotment grounds , ,,
96,1992,52.029,-4.372,3,1992,NA,1992,6,5,F,F,F,Yes,No,No,NA,NA,3,NA,0,2.4,2.4,0.7,NA,NA,NA,No,Yes,No,"Only a few froglets hatched, near farmland, lots of aircraft flying over (Drops of oil on drive)", ,,
97,1992,51.642,-0.165,1,1992,NA,1992,3,15,F,F,F,No,Yes,No,NA,NA,NA,NA,1,1.5,0.9,0.4,NA,NA,NA,No,No,No,Less spawn., ,,"Deaths believed to be victims of frost. Overall, have less frogs."
98,1992,51.235,-0.81,6,1992,7,1992,3,30,T,F,T,Yes,No,No,NA,NA,3,NA,0,1.8,0.9,0.7,NA,NA,NA,No,No,No,3 resident frogs disappeared. Less spawn than expected., ,,
99,1992,51.748,-1.294,3,1992,4,1992,3,30,F,F,F,No,No,No,NA,NA,0,NA,1,1.8,1.2,0.6,NA,NA,NA,No,No,No,, 23 dead 1985. A few (6-8) each year. Less spawn each year. 1 very red in '91. Spawn brought in was successful.,,
100,1992,51.888,0.89,NA,1992,NA,1992,20,30,F,F,F,No,No,No,NA,NA,NA,NA,1,1.8,7.2,NA,NA,NA,NA,No,No,No,Used to have 100s healthy adult frogs. All tadpoles disappeared - eaten by fish?, ,,Had tpoles but did not see froglets.
101,1992,53.453,-2.346,6,1992,7,1992,1,30,F,F,F,No,Yes,Yes,NA,NA,2,NA,1,2.4,1.5,0.6,NA,NA,NA,No,Yes,No,Less spawn than usual - 2 frogs died in September last year, ,,
